K | Accuracy %
|:-- |:-- |
 0 | 0.9567 
 10 | 0.9492 
 20 | 0.9447 
 30 | 0.9397 
 40 | 0.9347 
 50 | 0.9333 
 60 | 0.9298 
 70 | 0.9258 
 80 | 0.9222 
 90 | 0.9193 
 100 | 0.9165 
 110 | 0.9133 
 120 | 0.9103 
 130 | 0.9072 
 140 | 0.9050 
 150 | 0.9028 
 160 | 0.9013 
 170 | 0.8988 
 180 | 0.8965 
 190 | 0.8950 
 200 | 0.8927 
 210 | 0.8910 
 220 | 0.8900 
 230 | 0.8888 
 240 | 0.8873 
 250 | 0.8863 
 260 | 0.8845 
 270 | 0.8830 
 280 | 0.8812 
 290 | 0.8803 
 300 | 0.8792 
 310 | 0.8772 
 320 | 0.8758 
 330 | 0.8735 
 340 | 0.8717 
 350 | 0.8705 
 360 | 0.8687 
 370 | 0.8665 
 380 | 0.8650 
 390 | 0.8627 
 400 | 0.8623 
 410 | 0.8602 
 420 | 0.8578 
 430 | 0.8555 
 440 | 0.8552 
 450 | 0.8533 
 460 | 0.8517 
 470 | 0.8507 
 480 | 0.8503 
 490 | 0.8485 
