K | Accuracy %
|:-- |:-- |
 0 | 0.9647 
 10 | 0.9573 
 20 | 0.9506 
 30 | 0.9458 
 40 | 0.9428 
 50 | 0.9400 
 60 | 0.9381 
 70 | 0.9356 
 80 | 0.9324 
 90 | 0.9302 
 100 | 0.9278 
 110 | 0.9261 
 120 | 0.9234 
 130 | 0.9218 
 140 | 0.9204 
 150 | 0.9186 
 160 | 0.9177 
 170 | 0.9165 
 180 | 0.9153 
 190 | 0.9131 
 200 | 0.9125 
 210 | 0.9110 
 220 | 0.9099 
 230 | 0.9086 
 240 | 0.9073 
 250 | 0.9058 
 260 | 0.9041 
 270 | 0.9034 
 280 | 0.9003 
 290 | 0.8986 
 300 | 0.8977 
 310 | 0.8966 
 320 | 0.8946 
 330 | 0.8944 
 340 | 0.8927 
 350 | 0.8916 
 360 | 0.8903 
 370 | 0.8885 
 380 | 0.8873 
 390 | 0.8857 
 400 | 0.8844 
 410 | 0.8836 
 420 | 0.8823 
 430 | 0.8817 
 440 | 0.8807 
 450 | 0.8797 
 460 | 0.8793 
 470 | 0.8782 
 480 | 0.8770 
 490 | 0.8762 
